,0
0,0.012275385
1,0.013929171
2,0.009474004
3,0.008831864
4,0.0067481063
5,0.008813446
6,0.008173103
7,0.009814374
8,0.009359451
9,0.009285458
10,0.011679551
11,0.014055206
12,0.012283146
13,0.012952035
14,0.012254059
15,0.008228774
16,0.008462242
17,0.009211108
18,0.013014444
19,0.009707557
20,0.0121289175
21,0.008882925
22,0.0082812365
23,0.006921318
24,0.006688602
25,0.0077014696
26,0.008283673
27,0.0035619522
28,0.004057784
29,0.0035908432
30,0.005332105
31,0.004828524
32,0.005055106
33,0.005015377
34,0.0057518296
35,0.006814481
36,0.0066936524
37,0.007111763
38,0.005695354
39,0.00925347
40,0.0050440957
41,0.0060170568
42,0.008619158
43,0.010156878
44,0.008573851
45,0.010183586
46,0.008766201
47,0.0092315525
48,0.0077476096
49,0.007979455
50,0.00582951
51,0.0066428604
52,0.007673526
53,0.010063648
54,0.007518939
55,0.010496374
56,0.007676832
57,0.010366948
58,0.0067132073
59,0.0065129804
60,0.0066637266
61,0.0069982894
62,0.006747155
63,0.009408858
64,0.0068116914
65,0.007494201
66,0.0076566343
67,0.0044360943
68,0.00427713
69,0.00381083
70,0.0036086903
71,0.0035500755
72,0.0046573593
73,0.005631811
74,0.0056857727
75,0.007917816
76,0.009247472
77,0.009574889
78,0.010513357
79,0.009522769
80,0.014088492
81,0.008167015
82,0.0057276054
83,0.0055258325
84,0.0047753337
85,0.0048058345
86,0.008623917
87,0.008782127
88,0.009594918
89,0.008269475
90,0.009633597
91,0.008270335
92,0.007257506
93,0.0071920347
94,0.0072362893
95,0.007331938
96,0.005374973
97,0.004221001
98,0.004970518
99,0.009430968
100,0.0061183837
101,0.005635002
102,0.0052026086
103,0.0058085867
104,0.0046069445
105,0.0046166983
106,0.006074925
107,0.0067372415
108,0.007869815
109,0.011482556
110,0.008785519
111,0.009799817
112,0.012825158
113,0.0152201
114,0.017114626
115,0.016275378
116,0.014978445
117,0.013611041
118,0.012517898
119,0.01664354
120,0.017075859
121,0.018014446
122,0.016009133
123,0.020665102
124,0.032327287
125,0.02145651
126,0.020070026
127,0.01925891
128,0.029610965
129,0.02731589
130,0.020708721
131,0.019855365
132,0.025149137
133,0.02260723
134,0.034567524
135,0.028909722
136,0.021329504
137,0.02160176
138,0.0213043
139,0.020488929
140,0.021067953
141,0.013259567
142,0.011686902
143,0.014484329
144,0.0135131655
145,0.013880698
146,0.012175549
147,0.011809566
148,0.011032822
149,0.009876139
150,0.009399683
151,0.009285322
152,0.009938648
153,0.011891237
154,0.012456995
155,0.01109037
156,0.01172293
157,0.012432304
158,0.011857204
159,0.011136141
160,0.011077898
161,0.010959463
162,0.0122994045
163,0.0147332745
164,0.014729248
165,0.014470552
166,0.010320273
167,0.012098627
168,0.0079791
169,0.004638912
170,0.004507933
171,0.0053626117
172,0.00525242
173,0.00574143
174,0.0068467706
175,0.009483572
176,0.0077341185
177,0.008252635
178,0.008148935
179,0.007617746
180,0.008153635
181,0.008351957
182,0.010331225
183,0.008288576
184,0.008282506
185,0.010137553
186,0.0072868057
187,0.007920909
188,0.008963506
189,0.009789703
190,0.00635583
191,0.006047928
192,0.007475798
193,0.0070171617
194,0.0080404775
195,0.008524336
196,0.010600556
197,0.008521234
198,0.0052363323
199,0.007503817
200,0.009272524
201,0.008415691
202,0.0058909846
203,0.0058985166
204,0.0073707695
205,0.008878109
206,0.007011882
207,0.006613988
208,0.0053132554
209,0.005119876
210,0.005411689
211,0.005111158
212,0.005418551
213,0.0050437446
214,0.0070044557
215,0.0060460954
216,0.007884826
217,0.0074636787
218,0.007633454
219,0.0082545895
220,0.0068838247
221,0.0062022726
222,0.006068448
223,0.007466448
224,0.007394799
225,0.006306694
226,0.006559236
227,0.009516635
228,0.013923563
229,0.012360781
230,0.011204587
231,0.012629734
232,0.011650577
233,0.017144324
234,0.017314062
235,0.020758923
236,0.02187657
237,0.016299626
238,0.019215276
239,0.009155958
240,0.009692785
241,0.00649185
242,0.0051005366
243,0.0059232814
244,0.004231986
245,0.005846797
246,0.007022026
247,0.0065004844
248,0.0051435176
249,0.006608445
250,0.0074047623
251,0.00784091
252,0.0220169
253,0.04889439
254,0.051598754
255,0.05811853
256,0.074618265
257,0.09365756
258,0.1125764
259,0.11610361
260,0.13888511
261,0.17618099
262,0.19300295
263,0.19170177
264,0.2070124
265,0.22707261
266,0.2672852
267,0.31360084
268,0.3082137
269,0.3422874
270,0.40309784
271,0.42764145
272,0.47309893
273,0.5575535
274,0.60019416
275,0.67146033
276,0.6136292
277,0.44955626
278,0.36706823
279,0.32049605
280,0.27117476
281,0.2290769
282,0.18042187
283,0.14553382
284,0.1389175
285,0.11858538
286,0.107483335
287,0.08577499
288,0.09248735
289,0.075158566
290,0.07171858
291,0.068642735
292,0.06579068
293,0.055182014
294,0.04822392
295,0.03572818
296,0.040887248
297,0.030051624
298,0.026809959
299,0.023550251
300,0.025159592
301,0.02977683
302,0.030591778
303,0.037093353
304,0.032804955
305,0.031828832
306,0.032577727
307,0.03979364
308,0.035373725
309,0.035699975
310,0.03633569
311,0.03336267
312,0.030969873
313,0.02560603
314,0.025198294
315,0.023741342
316,0.02356618
317,0.024796886
318,0.026957188
319,0.027954316
320,0.028343383
321,0.029037103
322,0.027320504
323,0.024396883
324,0.024236033
325,0.03134568
326,0.033935137
327,0.03211961
328,0.04340913
329,0.04252656
330,0.036582153
331,0.033521306
332,0.03258035
333,0.031605788
334,0.034307256
335,0.035812393
336,0.03454129
337,0.035057034
338,0.038624328
339,0.038059752
340,0.034090355
341,0.03974555
342,0.036666546
343,0.03294467
344,0.035181664
345,0.028459271
346,0.028724732
347,0.027248895
348,0.025113583
349,0.02635299
350,0.022376478
351,0.0155511685
352,0.019646997
353,0.015208139
354,0.01654905
355,0.018368112
356,0.025779102
357,0.028968908
358,0.032706127
359,0.037604533
360,0.037556536
361,0.037065744
362,0.048157927
363,0.052430578
364,0.04163396
365,0.031852648
366,0.030883085
367,0.025522579
368,0.024541954
369,0.03637121
370,0.03800075
371,0.03411844
372,0.03246342
373,0.03614425
374,0.03382732
375,0.03206032
376,0.032295793
377,0.025708355
378,0.028160041
379,0.024380008
380,0.026768396
381,0.018726435
382,0.017029
383,0.013455364
384,0.014726694
385,0.013806598
386,0.014037278
387,0.015527183
388,0.019049933
389,0.01951428
390,0.016798038
391,0.017436743
392,0.015538173
393,0.01600818
394,0.01444307
395,0.014471936
396,0.016527396
397,0.017237164
398,0.019580794
399,0.019398237
400,0.021397937
401,0.025739446
402,0.022015542
403,0.027420044
404,0.028315863
405,0.036859706
406,0.032122225
407,0.03113587
408,0.037912544
409,0.039749973
410,0.0392732
411,0.03433516
412,0.033676
413,0.03298626
414,0.030882418
415,0.035433304
416,0.029649032
417,0.030286454
418,0.02480226
419,0.020786103
420,0.021427235
421,0.021721432
422,0.022746336
423,0.03212203
424,0.03105089
425,0.02548658
426,0.024098312
427,0.02797168
428,0.030497925
429,0.035554152
430,0.040613346
431,0.034452617
432,0.035642102
433,0.053750426
434,0.059761174
435,0.06574396
436,0.043400977
437,0.053662464
438,0.055524286
439,0.044692088
440,0.05218097
441,0.050344996
442,0.051343128
443,0.04562492
444,0.044216376
445,0.03648743
446,0.044762835
447,0.034085426
448,0.031098774
449,0.02965192
450,0.027388146
451,0.03249453
452,0.02890581
453,0.028268006
454,0.031573687
455,0.029579895
